id;Progressivo;Provincia_N_REA;N_REA;Codice_fiscale;Partita_IVA;Sede_o_UL;Progressivo_loc;N_Albo_Artigiani;Codici_sezioni_RI;Sezioni_RI;Codice_forma_giuridica;Forma_giuridica;Sito_internet;Email;Data_iscrizione;Data_cancellazione;Data_chiusura_ultimo_protocollo;Denominazione;Codice_toponimo;Toponimo;Via;N_civico;Codice_stradario;Cap;Codice_comune_catastale;Codice_comune_camerale;Comune;Sigla_provincia_istat;Provincia_istat;Sigla_provincia_camerale;Frazione;Altre_indicazioni;Codice_stato_estero;Stato_estero;Anno_dichiarazione_addetti;Addetti_indipendenti;Addetti_dipendenti;Classe_addetti;Telefono;Capitale;Valuta;Attivita'_dichiarata;Codici_ateco_e_importanza;Codice_ateco_principale;Settore_livello_1;Settore_livello_2;Codice_stato_impresa_o_attivita';Stato_impresa_o_attivita';Data_ultimo_bilancio_XBRL;Valore_produzione;Ricavi;Utile_o_perdite;Flag;Indirizzo;Indirizzo_corretto;Latitude;Longitude;PI;Name;URL;Index;company_file_name;Keys;Title_and_description;Logo;Link_to_contacts;Link_to_products;Link_to_certifications;Link_to_trading_information;Phones_list;emails_list;Has_contact_form;Certifications_list;Available_translations;Countries_relationships;Home_page_images_(all);Contacts_page_images_(filtered);Products_page_images_(filtered);Trading_page_images_(filtered);Videos;Tracking;CMS;Framework;JS_library;Favicon;Language;Sitemap;Facebook;Twitter;Linkedin;Flickr;Youtube;Pinterest;Instagram;Slideshare;Foursquare;Warnings;Index2
1;;;;;05180970286;SEDE;;;;;;SOCIETA' IN ACCOMANDITA SEMPLICE;;;24/01/2019;;;11N SAS DI BEZEDE FLORIN DANIEL E C.;;;;;;35010;;;BORGORICCO;;;;;;;;;;;0-2;;;;ATTIVITA' NON SPECIALIZZATE DI LAVORI EDILI (MURATORI) (DAL 11/01/2019);;43.39.01;Costruzioni;Lavori di costruzione specializzati;;Registrata Attiva;;;;;;;VIA FRATTINA, 17/8, 35010 BORGORICCO PD;45.5353938;11.934728;05180970286;11N SAS DI BEZEDE FLORIN DANIEL E C.;;0;-1-05180970286.bz2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;;;;;04260330289;SEDE;;;;;;IMPRESA INDIVIDUALE;;;26/03/2008;;;2 EMME ELETTRIK DI MOMETTO MIRKO;;;;;;35010;;;BORGORICCO;;;;;;;;;;;3-9;;;; INSTALLAZIONE, AMPLIAMENTO, TRASFORMAZIONE, MANUTENZIONE DEGLI IMPIANTI SOTTOSPECIFICATI: - LETT. A): IMPIANTI DI PRODUZIONE, DI TRASPORTO, DI DISTRIBUZIONE E DI UTILIZZAZIONE DELL'ENERGIA ELETTRICA ALL'INTERNO DEGLI EDIFICI A PARTIRE DAL PUNTO DI CONSEGNA DELL'ENERGIA FORNITA DALL'ENTE DISTRIBUTORE (IN EDIFICI ADIBITI AD USO CIVILE ED IMMOBILI ADIBITI AD ATTIVITA' PRODUTTIVE, AL COMMERCIO, AL TERZIARIO E AD ALTRI USI), - LETT. B): IMPIANTI RADIOTELEVISIVI ED ELETTRONICI IN GENERE, ANTENNE, IMPIANTI DI PROTEZIONE DA SCARICHE ATMOSFERICHE, - LETT. G): IMPIANTI DI PROTEZIONE ANTINCENDIO (DAL 29/01/2008);;43.21.01;Costruzioni;Lavori di costruzione specializzati;;Registrata Attiva;;;;;;;VIA DESMAN, 329/A, 35010 BORGORICCO PD;45.5334419;11.9505669;04260330289;2 EMME ELETTRIK DI MOMETTO MIRKO;;0;-2-04260330289.bz2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;;;;;02520450285;SEDE;;;;;;SOCIETA' A RESPONSABILITA' LIMITATA;;;12/03/1992;;;956 GROUP S.R.L.;;;;;;35012;;;CAMPOSAMPIERO;;;;;;;;;;;0-2;049/9336186;;;INSTALLAZIONE IMPIANTI ELETTRICI CIVILI ED INDUSTRIALI COMPRESA LA MANUTENZIONE, LA SOSTITUZIONE E L'AMMODERNAMENTO  DEGLI STESSI (DAL 01.01.1993). COMMERCIO ALL'INGROSSO DI MATERIALE ELETTRICO (DAL 10.2.1998);;43.21;Costruzioni;Lavori di costruzione specializzati;;Registrata Attiva;;;;;;;VIA VIVALDI, 1, 35012 CAMPOSAMPIERO PD;45.5676234;11.935597;02520450285;956 GROUP S.R.L.;;0;-12-02520450285.bz2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;;;;;05309140282;SEDE;;;;;;SOCIETA' A RESPONSABILITA' LIMITATA;;;01/09/2020;;;ABITARTE S.R.L.;;;;;;35010;;;BORGORICCO;;;;;;;;;;;;;;;COSTRUZIONE DI EDIFICI RESIDENZIALI E NON RESIDENZIALI;;41.2;Costruzioni;Costruzione di edifici;;Registrata Attiva;;;;;;;CORSO ITALIA, 9/2, 35010 BORGORICCO PD;45.53243000000001;11.9690904;05309140282;ABITARTE S.R.L.;https://www.abitartesrl.it/;1;-19-05309140282.bz2;abitarte, muson, borgoricco, biville, antico, progetti, scrivici, chiamaci, casa, interior, design, chiedi, piacciono, vieni, splendide, padova, scoprire, alto, piano, energetico, regola, sogni, arte, affida, ufficio, antico muson, biville antico, interior design, splendide biville, vieni scoprire;AbitArte  Case in Vendita a Borgoricco  AbitArte;;https://www.abitartesrl.it/contatti/;;;;[IT] +393481319935, [IT] +39 348 1319935;info@abitartesrl.it, commerciale@abitartesrl.it;False;;it;;;;;;;;Wordpress;;JQuery;True;it;;https://www.facebook.com/abitarte.srl;;;;;;https://www.instagram.com/abitarte.srl/;;;PIVA correct: 5010 Borgoricco (PD) | C.F./Partita IVA: 05309140282 ||;2
22;;;;;04329770285;SEDE;;;;;;IMPRESA INDIVIDUALE;;;26/07/2010;;;A.D.M. GROUP COSTRUZIONI DI SOI MAURO;;;;;;35010;;;BORGORICCO;;;;;;;;;;;10-49;;;;COSTRUZIONE DI EDIFICI RESIDENZIALI E NON RESIDENZIALI, LAVORI DI ISOLAMENTO TERMICO,ACUSTICO E ANTIVIBRANTE, REALIZZAZIONE COPERTURE.;;41.2;Costruzioni;Costruzione di edifici;;Registrata Attiva;;;;;;;VIA PELOSA, 154, 35010 BORGORICCO PD;45.5460646;11.9566285;04329770285;A.D.M. GROUP COSTRUZIONI DI SOI MAURO;;0;-22-04329770285.bz2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;;;;;05088050280;SEDE;;;;;;SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;;;11/10/2017;;;ARIETE D.S. SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;;;;;;35010;;;BORGORICCO;;;;;;;;;;;3-9;;;;INSTALLAZIONE, AMPLIAMENTO, TRASFORMAZIONE, MANUTENZIONE DEGLI IMPIANTI SOTTOSPECIFICATI, POSTI AL SERVIZIO DEGLI EDIFICI, INDIPENDENTEMENTE DALLA DESTINAZIONE D'USO, COLLOCATI ALL'INTERNO DEGLI STESSI O DELLE RELATIVE PERTINENZE D.M. 37/08: - (LETT.A): IMPIANTI DI PRODUZIONE, TRASFORMAZIONE, TRASPORTO, DISTRIBUZIONE, UTILIZZAZIONE DELL'ENERGIA ELETTRICA, NONCHE' GLI IMPIANTI PER L'AUTOMAZIONE DI PORTE, CANCELLI E BARRIERE;;43.21.01;Costruzioni;Lavori di costruzione specializzati;;Registrata Attiva;;;;;;;VIA PELOSA, 142, 35010 BORGORICCO PD;45.543882;11.9670765;05088050280;ARIETE D.S. SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;;0;-50-05088050280.bz2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;;;;;05448500289;SEDE;;;;;;IMPRESA INDIVIDUALE;;;09/03/2022;;;ARTSTYLE DI POPA ALIN CATALIN;;;;;;35010;;;BORGORICCO;;;;;;;;;;;;;;;POSA IN OPERA DI INFISSI, ARREDI, CONTROSOFFITTI, PARETI MOBILI E SIMILI;;43.32.02;Costruzioni;Lavori di costruzione specializzati;;Registrata Attiva;;;;;;;CORSO ITALIA, 10/G, 35010 BORGORICCO PD;45.5326726;11.9692241;05448500289;ARTSTYLE DI POPA ALIN CATALIN;;0;-53-05448500289.bz2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;;;;;04165290281;SEDE;;;;;;IMPRESA INDIVIDUALE;;;05/02/2007;;;BENEDILE DI LEKA ARBEN;;;;;;35010;;;BORGORICCO;;;;;;;;;;;0-2;;;; IMPRESA EDILE (DAL 11.01.2007);;41.2;Costruzioni;Costruzione di edifici;;Registrata Attiva;;;;;;;VIA DELLA PIEVE, 94/C, 35010 BORGORICCO PD;45.5315581;11.9934113;04165290281;BENEDILE DI LEKA ARBEN;;0;-101-04165290281.bz2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;;;;;05439030288;SEDE;;;;;;IMPRESA INDIVIDUALE;;;02/02/2022;;;BEST MONTAGGI DI BEATRICE MELANDRI;;;;;;35010;;;BORGORICCO;;;;;;;;;;;;;;;MONTAGGIO MOBILI;;43.32.02;Costruzioni;Lavori di costruzione specializzati;;Registrata Attiva;;;;;;;VIALE EUROPA, 8, 35010 BORGORICCO PD;45.5311761;11.9682082;05439030288;BEST MONTAGGI DI BEATRICE MELANDRI;;0;-113-05439030288.bz2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
124;;;;;04804560284;SEDE;;;;;;IMPRESA INDIVIDUALE;;;18/04/2014;;;BOLDRIN FABRIZIO;;;;;;35010;;;BORGORICCO;;;;;;;;;;;0-2;;;;ATTIVITA' NON SPECIALIZZATA DI LAVORI EDILI (MURATORI);;43.39.01;Costruzioni;Lavori di costruzione specializzati;;Registrata Attiva;;;;;;;VIA GAFFARELLO, 28, 35010 BORGORICCO PD;45.5192695;11.9916424;04804560284;BOLDRIN FABRIZIO;;0;-124-04804560284.bz2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
